"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01006099999","2023-01-13T03:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","083,1,N,0117,1","99999,9,9,9","999999,9,9,9","-0019,1","-0025,1","09895,1","120,M,-0019,1","120,N,-0020,1","99999,9,09879,1","7,1,010,1,+999,9","0136,1","9,99,0120,1,999","SYN004BUFR",
"01006099999","2023-01-13T04:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","082,1,N,0118,1","99999,9,9,9","999999,9,9,9","-0019,1","-0025,1","09892,1","120,M,-0018,1","120,N,-0019,1","99999,9,09876,1","7,1,009,1,+999,9","0140,1","9,99,0121,1,999","SYN004BUFR",
"01006099999","2023-01-13T05:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","086,1,N,0128,1","99999,9,9,9","999999,9,9,9","-0019,1","-0026,1","09890,1","120,M,-0019,1","120,N,-0020,1","99999,9,09874,1","7,1,010,1,+999,9","0140,1","9,99,0128,1,999","SYN004BUFR",
"01006099999","2023-01-13T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","084,1,N,0164,1","99999,9,9,9","999999,9,9,9","-0020,1","-0030,1","09900,1",,,"99999,9,09885,1","3,1,008,1,+999,9","0193,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-01-14T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","096,1,N,0160,1","99999,9,9,9","999999,9,9,9","-0027,1","-0038,1","09961,1",,,"99999,9,09945,1","1,1,010,1,+999,9","0193,1","9,99,0170,1,999","SYN004BUFR",
"01006099999","2023-01-14T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","097,1,N,0164,1","99999,9,9,9","999999,9,9,9","-0030,1","-0045,1","09971,1",,,"99999,9,09955,1","2,1,010,1,+999,9","0202,1","9,99,0174,1,999","SYN004BUFR",
"01006099999","2023-01-17T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","031,1,N,0118,1","99999,9,9,9","999999,9,9,9","-0054,1","-0069,1","10061,1",,,"99999,9,10045,1","2,1,005,1,+999,9","0138,1","9,99,0125,1,999","SYN004BUFR",
"01006099999","2023-01-21T22:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","173,1,N,0056,1","99999,9,9,9","999999,9,9,9","-0057,1","-0079,1","10088,1",,,"99999,9,10072,1","6,1,017,1,+999,9","0065,1","9,99,0062,1,999","SYN004BUFR",
"01006099999","2023-01-24T22:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","349,1,N,0140,1","99999,9,9,9","999999,9,9,9","-0039,1","-0059,1","09791,1",,,"99999,9,09775,1","3,1,015,1,+999,9","0155,1","9,99,0140,1,999","SYN004BUFR",
"01006099999","2023-01-25T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0085,1","-0113,1","09940,1",,,"99999,9,09924,1","1,1,018,1,+999,9",,"9,99,0191,1,999","SYN004BUFR",
"01006099999","2023-01-26T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","320,1,N,0074,1","99999,9,9,9","999999,9,9,9","-0104,1","-0126,1","10009,1",,,"99999,9,09993,1","0,1,001,1,+999,9","0091,1","9,99,0078,1,999","SYN004BUFR",
"01006099999","2023-01-26T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","319,1,N,0053,1","99999,9,9,9","999999,9,9,9","-0097,1","-0130,1","10010,1",,,"99999,9,09994,1","2,9,001,9,+999,9","0074,1","9,99,0062,1,999","SYN004BUFR","Q01.1    3APC3  Q024     3APCTEN"
"01006099999","2023-01-27T22:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","083,1,N,0074,1","99999,9,9,9","999999,9,9,9","-0069,1","-0108,1","09960,1",,,"99999,9,09945,1","7,1,010,1,+999,9","0087,1","9,99,0074,1,999","SYN004BUFR",
