"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"01001499999","2023-01-02T07:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0015,1","01219,1,C,N","009999,1,9,9","-0010,1","-0020,1","99999,9","02,1,+01067,1,99,9","04,1,+01219,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10060,1,99999,9",,,,"MET060METAR ENSO 020750Z VRB03KT 9999 FEW035 SCT040 M01/M02 Q1006=",
"01001499999","2023-01-02T08:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0010,1","03048,1,C,N","009999,1,9,9","-0010,1","-0020,1","99999,9","02,1,+01067,1,99,9","04,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10060,1,99999,9",,,,"MET060METAR ENSO 020820Z VRB02KT 9999 FEW035 SCT100 M01/M02 Q1006=",
"01001499999","2023-01-02T08:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","360,1,V,0015,1","03048,1,C,N","009999,1,9,9","+0000,1","-0020,1","99999,9","02,1,+01067,1,99,9","04,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10060,1,99999,9",,,,"MET068METAR ENSO 020850Z 36003KT 300V070 9999 FEW035 SCT100 M00/M02 Q1006=",
"01001499999","2023-01-02T09:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","050,1,V,0010,1","02743,1,C,N","009999,1,9,9","+0000,1","-0030,1","99999,9","02,1,+01219,1,99,9","04,1,+02743,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10060,1,99999,9",,,,"MET068METAR ENSO 020920Z 05002KT 360V100 9999 FEW040 SCT090 M00/M03 Q1006=",
"01001499999","2023-01-02T09:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0005,1","02743,1,C,N","009999,1,9,9","+0000,1","-0030,1","99999,9","02,1,+01219,1,99,9","04,1,+02743,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10060,1,99999,9",,,,"MET059METAR ENSO 020950Z VRB01KT 9999 FEW040 SCT090 00/M03 Q1006=",
"01001499999","2023-01-02T10:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0010,1","02743,1,C,N","009999,1,9,9","+0000,1","-0020,1","99999,9","02,1,+00914,1,99,9","04,1,+02743,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10060,1,99999,9",,,,"MET060METAR ENSO 021020Z VRB02KT 9999 FEW030 SCT090 M00/M02 Q1006=",
"01001499999","2023-01-02T10:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","060,1,N,0015,1","03048,1,C,N","009999,1,9,9","+0000,1","-0030,1","99999,9","04,1,+00975,1,99,9","04,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00975,1,99,9,99,9","10070,1,99999,9",,,,"MET059METAR ENSO 021050Z 06003KT 9999 SCT032 SCT100 00/M03 Q1007=",
"01001499999","2023-01-02T11:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","170,1,V,0010,1","03048,1,C,N","009999,1,9,9","+0010,1","-0020,1","99999,9","04,1,+00975,1,99,9","04,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00975,1,99,9,99,9","10060,1,99999,9",,,,"MET067METAR ENSO 021120Z 17002KT 120V210 9999 SCT032 SCT100 01/M02 Q1006=",
"01001499999","2023-01-02T11:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","200,1,V,0015,1","03048,1,C,N","009999,1,9,9","+0010,1","-0010,1","99999,9","04,1,+00945,1,99,9","04,1,+03048,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00945,1,99,9,99,9","10060,1,99999,9",,,,"MET067METAR ENSO 021150Z 20003KT 160V240 9999 SCT031 SCT100 01/M01 Q1006=",
"01001499999","2023-01-02T12:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","220,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0020,1","-0010,1","99999,9","04,1,+01006,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01006,1,99,9,99,9","10060,1,99999,9",,,,"MET052METAR ENSO 021220Z 22003KT 9999 SCT033 02/M01 Q1006=",
